Country,Year,GDP_per_capita
Brazil,1990,6149.86788957152
Brazil,1991,6107.6488370630595
Brazil,1992,5973.98285652476
Brazil,1993,6167.4609220979
Brazil,1994,6427.16901975862
Brazil,1995,6596.33572707823
Brazil,1996,6640.72700688977
Brazil,1997,6764.85842125167
Brazil,1998,6687.49523583703
Brazil,1999,6621.6367628267
Brazil,2000,6817.78424119813
Brazil,2001,6823.03397034029
Brazil,2002,6944.62337530502
Brazil,2003,6941.44045779811
Brazil,2004,7258.78185202231
Brazil,2005,7409.56913269792
Brazil,2006,7622.04007171401
Brazil,2007,8003.25413136092
Brazil,2008,8330.76459882987
Brazil,2009,8246.09707036353
Brazil,2010,8792.63436164336
Brazil,2011,9067.99316393419
Brazil,2012,9167.49923975685
Brazil,2013,9366.73932481225
Brazil,2014,9338.34278324839
Brazil,2015,8936.19661756825
Brazil,2016,8577.8437669383
Brazil,2017,8628.25308951214
Brazil,2018,8722.33630361577
Brazil,2019,8771.44051336065
Brazil,2020,8435.01143297182
Brazil,2021,8799.22945854927
Brazil,2022,9032.08481611491
Brazil,2023,9258.05329063487
Chile,1990,5342.5564679352
Chile,1991,5664.52754709787
Chile,1992,6196.34617389265
Chile,1993,6502.65364930101
Chile,1994,6727.66815117552
Chile,1995,7222.16380205915
Chile,1996,7605.2895299082
Chile,1997,8058.94228775841
Chile,1998,8287.45061072052
Chile,1999,8161.45168851645
Chile,2000,8465.35303239198
Chile,2001,8632.01482418618
Chile,2002,8810.69052729594
Chile,2003,9130.7842622047
Chile,2004,9642.3747864668
Chile,2005,10104.4208387154
Chile,2006,10611.6144011853
Chile,2007,11051.3450718649
Chile,2008,11356.0922102588
Chile,2009,11116.4093443974
Chile,2010,11649.2897086343
Chile,2011,12252.8441071997
Chile,2012,12882.8344179443
Chile,2013,13182.7329616958
Chile,2014,13285.9540361176
Chile,2015,13433.9202985339
Chile,2016,13505.0977104931
Chile,2017,13473.3458532575
Chile,2018,13763.0068840877
Chile,2019,13630.5935431699
Chile,2020,12679.0240036611
Chile,2021,14053.8743826368
Chile,2022,14272.2709917484
Chile,2023,14226.5180749128
France,1990,27992.9751563018
France,1991,28197.235956819
France,1992,28482.5194710025
France,1993,28257.0962436413
France,1994,28822.5006563247
France,1995,29379.6158447459
France,1996,29683.7786060864
France,1997,30325.5228742678
France,1998,31256.5073871178
France,1999,32152.7207413244
France,2000,33255.1379678188
France,2001,33640.6738010628
France,2002,33753.5782919683
France,2003,33840.6175643619
France,2004,34557.1471190953
France,2005,34946.0372441472
France,2006,35645.416247825
France,2007,36322.1685116781
France,2008,36257.3658869458
France,2009,35052.8510836822
France,2010,35578.1967958814
France,2011,36269.9561589984
France,2012,36161.2918334209
France,2013,36256.0866889623
France,2014,36444.3949135827
France,2015,36702.4323733379
France,2016,36920.5342871045
France,2017,37580.5979319486
France,2018,38062.4435971517
France,2019,38705.2072997191
France,2020,35709.204585868
France,2021,38030.8571728494
France,2022,38881.2230653186
France,2023,39117.4845009362
Germany,1990,29747.6909405244
Germany,1991,31040.2935628737
Germany,1992,31425.647608288
Germany,1993,30915.8728851988
Germany,1994,31609.1102861092
Germany,1995,31990.7949869618
Germany,1996,32229.4778702849
Germany,1997,32779.2802468879
Germany,1998,33461.3192202157
Germany,1999,34152.0032256224
Germany,2000,35087.0891559515
Germany,2001,35601.3628351653
Germany,2002,35460.4121336422
Germany,2003,35252.9745134977
Germany,2004,35670.4870276152
Germany,2005,36006.8578105923
Germany,2006,37437.3918783337
Germany,2007,38570.9146408152
Germany,2008,38996.143407627
Germany,2009,36927.1920287013
Germany,2010,38517.4397860109
Germany,2011,40712.6577363042
Germany,2012,40829.034893805
Germany,2013,40875.0262803178
Germany,2014,41588.0763875592
Germany,2015,41911.0109851054
Germany,2016,42528.0637107828
Germany,2017,43520.1864212996
Germany,2018,43874.0130936092
Germany,2019,44207.6320519514
Germany,2020,42362.6472136853
Germany,2021,43898.7713167519
Germany,2022,44180.4298386996
Germany,2023,44336.7775157399
Greece,1990,15438.7936734794
Greece,1991,15727.4735693885
Greece,1992,15717.0463428435
Greece,1993,15374.862548745
Greece,1994,15604.0339409517
Greece,1995,15857.4162600482
Greece,1996,16005.9511612222
Greece,1997,16501.0316432034
Greece,1998,16973.8293536875
Greece,1999,17358.4347248482
Greece,2000,18002.9065076414
Greece,2001,18742.4235416567
Greece,2002,19548.3677232687
Greece,2003,20632.2557384172
Greece,2004,21688.105121913
Greece,2005,21880.5265550864
Greece,2006,23220.5324390846
Greece,2007,23973.6937033513
Greece,2008,23923.8800608727
Greece,2009,22878.1346733291
Greece,2010,21547.7241895964
Greece,2011,19448.2557511168
Greece,2012,17924.6620516477
Greece,2013,17644.8766792834
Greece,2014,17903.5252559978
Greece,2015,17980.7298238137
Greece,2016,18049.9289175756
Greece,2017,18352.0884111283
Greece,2018,18769.0390099773
Greece,2019,19216.6760037219
Greece,2020,17486.9513800415
Greece,2021,19232.968382872
Greece,2022,20595.4953496212
Greece,2023,21139.1916750925
Italy,1990,27625.1792401549
Italy,1991,28030.7653844433
Italy,1992,28245.4271224971
Italy,1993,27987.4328992052
Italy,1994,28583.6255334144
Italy,1995,29408.3209648256
Italy,1996,29795.659782462
Italy,1997,30353.3778330306
Italy,1998,30892.1758716425
Italy,1999,31405.2609086396
Italy,2000,32609.6674684471
Italy,2001,33245.2803732961
Italy,2002,33285.4148556776
Italy,2003,33159.8415780158
Italy,2004,33431.5599098693
Italy,2005,33521.3202180455
Italy,2006,34022.1190389231
Italy,2007,34345.7598862545
Italy,2008,33769.8973537384
Italy,2009,31832.9860141479
Italy,2010,32220.4860698495
Italy,2011,32388.8180099136
Italy,2012,31292.1311312137
Italy,2013,30369.1293679326
Italy,2014,30091.3481539205
Italy,2015,30387.1293187854
Italy,2016,30815.0869082281
Italy,2017,31356.224035187
Italy,2018,31675.5758014951
Italy,2019,32180.4341021496
Italy,2020,29469.7989279182
Italy,2021,32267.7090970216
Italy,2022,33840.3432155508
Italy,2023,34088.088128227
Japan,1990,28422.2131195125
Japan,1991,29308.274088137
Japan,1992,29462.6539670948
Japan,1993,29232.4397928178
Japan,1994,29466.7552451756
Japan,1995,30171.1637924347
Japan,1996,31046.1701544648
Japan,1997,31276.1930771932
Japan,1998,30795.0888900928
Japan,1999,30636.266116943
Japan,2000,31430.6311303282
Japan,2001,31476.052066579
Japan,2002,31416.1241772435
Japan,2003,31830.2175849262
Japan,2004,32515.1158024317
Japan,2005,33098.5474664872
Japan,2006,33531.5185630775
Japan,2007,33990.0360341685
Japan,2008,33557.6454041531
Japan,2009,31651.0837739853
Japan,2010,32942.2020783725
Japan,2011,33011.13423011
Japan,2012,33518.444936892
Japan,2013,34239.8862473683
Japan,2014,34386.905855287
Japan,2015,34960.6393843385
Japan,2016,35242.1993771881
Japan,2017,35861.9728545838
Japan,2018,36138.5290824719
Japan,2019,36043.7844013365
Japan,2020,34650.7967802766
Japan,2021,35701.4542716142
Japan,2022,36202.639274898
Japan,2023,36990.3301140205
Mexico,1990,8036.86114412537
Mexico,1991,8197.01179494896
Mexico,1992,8330.26426802488
Mexico,1993,8411.79621338297
Mexico,1994,8623.48043007968
Mexico,1995,7970.64038496182
Mexico,1996,8320.65295694833
Mexico,1997,8770.84481553539
Mexico,1998,9161.89527783381
Mexico,1999,9264.97729259968
Mexico,2000,9581.96970210753
Mexico,2001,9398.35074355724
Mexico,2002,9242.27886130016
Mexico,2003,9221.99666693097
Mexico,2004,9421.28975988024
Mexico,2005,9491.51730225718
Mexico,2006,9813.8280424425
Mexico,2007,9877.69532644737
Mexico,2008,9826.3421836048
Mexico,2009,9074.1188145564
Mexico,2010,9389.06722084275
Mexico,2011,9575.93437788582
Mexico,2012,9782.51776305354
Mexico,2013,9738.71059803658
Mexico,2014,9862.48125444199
Mexico,2015,10021.2386118827
Mexico,2016,10100.5021214015
Mexico,2017,10193.7727193457
Mexico,2018,10296.8690937052
Mexico,2019,10159.4448355881
Mexico,2020,9234.64362485294
Mexico,2021,9728.05680032556
Mexico,2022,10011.2545383826
Mexico,2023,10241.8945112994
South Korea,1990,9367.09258686755
South Korea,1991,10274.4827454694
South Korea,1992,10798.561680692
South Korea,1993,11424.5851330612
South Korea,1994,12358.5180229628
South Korea,1995,13411.1119170158
South Korea,1996,14332.1367231987
South Korea,1997,15074.4883429924
South Korea,1998,14198.386270755
South Korea,1999,15714.4119484746
South Korea,2000,16995.5591864626
South Korea,2001,17684.0503773277
South Korea,2002,18940.3842233935
South Korea,2003,19435.4934104303
South Korea,2004,20364.7599656771
South Korea,2005,21197.1990880347
South Korea,2006,22196.2077459266
South Korea,2007,23365.1402064812
South Korea,2008,23887.0595538423
South Korea,2009,23952.8132191069
South Korea,2010,25455.6174843658
South Korea,2011,26191.6442615421
South Korea,2012,26680.275444870502
South Korea,2013,27399.6159477521
South Korea,2014,28100.0102759544
South Korea,2015,28737.4391706499
South Korea,2016,29467.124342556
South Korea,2017,30312.8888500809
South Korea,2018,31059.2668087927
South Korea,2019,31645.9498343307
South Korea,2020,31378.1579340648
South Korea,2021,32771.0724243229
South Korea,2022,33690.3788793046
South Korea,2023,34121.0211756766
Spain,1990,19174.7708317507
Spain,1991,19612.9766061335
Spain,1992,19698.5117502208
Spain,1993,19394.4931363836
Spain,1994,19762.3886330259
Spain,1995,20217.9031882287
Spain,1996,20658.8402740028
Spain,1997,21310.4311931636
Spain,1998,22135.4044960606
Spain,1999,23017.8387781684
Spain,2000,24106.8818441389
Spain,2001,24878.3784411461
Spain,2002,25205.3154727214
Spain,2003,25481.1653817075
Spain,2004,25825.3106522135
Spain,2005,26294.4473727979
Spain,2006,26899.0921510778
Spain,2007,27338.7954165547
Spain,2008,27112.5262998815
Spain,2009,25860.8142643369
Spain,2010,25766.2515889226
Spain,2011,25510.5579601069
Spain,2012,24763.5682703688
Spain,2013,24490.2279309777
Spain,2014,24937.0366118341
Spain,2015,25969.8383138327
Spain,2016,26704.3435828513
Spain,2017,27413.3287630157
Spain,2018,27947.3177652619
Spain,2019,28291.6306843873
Spain,2020,25073.7209751005
Spain,2021,26721.1481805453
Spain,2022,28168.3670415397
Spain,2023,28569.8436482338
Sweden,1990,34902.9205848639
Sweden,1991,34268.5547150561
Sweden,1992,33673.4365945351
Sweden,1993,32786.8795033975
Sweden,1994,33861.971357929
Sweden,1995,35063.9008956006
Sweden,1996,35604.9683604031
Sweden,1997,36675.2077147134
Sweden,1998,38211.1186220399
Sweden,1999,39785.3801572029
Sweden,2000,41561.0967168749
Sweden,2001,42013.7004264801
Sweden,2002,42831.0188619575
Sweden,2003,43474.579217835
Sweden,2004,45113.8308513761
Sweden,2005,46188.8411079246
Sweden,2006,48077.4408695625
Sweden,2007,49261.2399453051
Sweden,2008,48427.7563778
Sweden,2009,45973.5537675417
Sweden,2010,48204.6580784176
Sweden,2011,49355.6899419737
Sweden,2012,48788.8671231037
Sweden,2013,48927.5973053354
Sweden,2014,49556.7005007699
Sweden,2015,51197.9529341175
Sweden,2016,51746.6969632478
Sweden,2017,51985.932464245
Sweden,2018,52363.3829181296
Sweden,2019,53156.8613091273
Sweden,2020,51715.78104096
Sweden,2021,54458.3535600817
Sweden,2022,54878.2919511876
Sweden,2023,54449.7982042953
